,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
0,22.0,,20000.0,,260000.0,1,1
1,,,150000.0,2.0,360000.0,1,2
2,,48.0,60000.0,0.0,450000.0,1,2
3,26.0,12.0,70000.0,0.0,400000.0,1,3
4,31.0,60.0,210000.0,0.0,800000.0,1,2
5,26.0,4.0,100000.0,,500000.0,1,2
6,29.0,36.0,200000.0,2.0,3000000.0,1,2
7,22.0,7.0,60000.0,,550000.0,1,2
8,25.0,12.0,250000.0,0.0,900000.0,1,2
9,29.0,48.0,390000.0,0.0,1000000.0,1,4
10,28.0,6.0,400000.0,0.0,1300000.0,1,4
11,27.0,4.0,200000.0,0.0,500000.0,1,2
12,22.0,24.0,100000.0,0.0,,1,2
13,20.0,,20000.0,0.0,200000.0,1,1
14,27.0,36.0,100000.0,,440000.0,1,2
15,24.0,4.0,120000.0,0.0,500000.0,1,2
16,25.0,10.0,150000.0,0.0,500000.0,1,2
17,23.0,5.0,60000.0,0.0,400000.0,1,4
18,26.0,36.0,180000.0,0.0,450000.0,1,2
19,,60.0,250000.0,0.0,5000000.0,1,2
20,,4.0,50000.0,0.0,400000.0,1,2
21,22.0,3.0,70000.0,1.0,320000.0,1,2
22,23.0,12.0,130000.0,,500000.0,1,4
23,28.0,24.0,130000.0,,1000000.0,1,2
24,27.0,72.0,120000.0,1.0,600000.0,1,4
25,21.0,12.0,80000.0,,650000.0,1,3
26,25.0,12.0,20000.0,3.0,600000.0,1,2
27,32.0,84.0,660000.0,0.0,,1,4
28,26.0,2.0,100000.0,0.0,800000.0,1,2
29,33.0,96.0,500000.0,2.0,,1,4
30,40.0,36.0,200000.0,,,1,4
31,25.0,2.0,150000.0,,510000.0,1,2
32,22.0,2.0,184000.0,0.0,630000.0,1,2
33,29.0,16.0,150000.0,3.0,360000.0,1,2
34,23.0,26.0,100000.0,0.0,400000.0,1,2
35,,24.0,200000.0,0.0,600000.0,1,2
36,27.0,,565000.0,0.0,400000.0,1,2
37,25.0,24.0,248000.0,0.0,650000.0,1,2
38,21.0,13.0,20000.0,0.0,300000.0,1,2
39,,36.0,60000.0,1.0,,1,2
40,39.0,54.0,621000.0,3.0,1000000.0,1,4
41,,18.0,100000.0,1.0,,1,2
42,29.0,24.0,1000000.0,,1300000.0,1,2
43,21.0,30.0,100000.0,0.0,450000.0,1,2
44,30.0,66.0,150000.0,3.0,,1,2
45,29.0,90.0,190000.0,3.0,,1,2
46,29.0,10.0,80000.0,1.0,480000.0,1,2
47,28.0,10.0,100000.0,0.0,360000.0,1,2
48,36.0,,16000.0,0.0,1200000.0,1,2
49,20.0,16.0,40000.0,,400000.0,1,2
50,25.0,12.0,60000.0,0.0,500000.0,1,2
51,20.0,,20000.0,1.0,200000.0,1,1
52,,72.0,170000.0,0.0,600000.0,1,2
53,39.0,30.0,450000.0,3.0,1300000.0,1,2
54,24.0,,50000.0,0.0,,1,3
55,26.0,,100000.0,,1200000.0,1,4
56,23.0,2.0,60000.0,0.0,500000.0,1,2
57,22.0,24.0,530000.0,0.0,,1,2
58,24.0,24.0,140000.0,0.0,500000.0,1,2
59,20.0,,20000.0,0.0,300000.0,1,1
60,31.0,7.0,110000.0,1.0,760000.0,1,2
61,30.0,60.0,80000.0,0.0,,1,2
62,28.0,24.0,160000.0,0.0,700000.0,1,4
63,24.0,12.0,60000.0,0.0,300000.0,1,2
64,22.0,,20000.0,0.0,,1,1
65,,0.0,60000.0,1.0,,1,2
66,22.0,9.0,200000.0,0.0,25000000.0,1,2
67,26.0,,60000.0,0.0,600000.0,1,2
68,23.0,9.0,50000.0,,300000.0,1,2
69,23.0,9.0,110000.0,1.0,400000.0,1,2
70,23.0,0.0,50000.0,,300000.0,1,2
71,33.0,130.0,160000.0,3.0,650000.0,1,3
72,29.0,8.0,80000.0,0.0,600000.0,1,4
73,30.0,7.0,80000.0,0.0,340000.0,1,2
74,30.0,5.0,150000.0,1.0,750000.0,1,3
75,27.0,27.0,200000.0,0.0,520000.0,1,2
76,25.0,24.0,360000.0,0.0,400000.0,1,2
77,28.0,4.0,100000.0,0.0,700000.0,1,2
78,32.0,84.0,500000.0,3.0,,1,2
79,,60.0,315000.0,0.0,600000.0,1,2
80,25.0,18.0,100000.0,0.0,550000.0,1,2
81,29.0,78.0,120000.0,2.0,380000.0,1,2
82,23.0,1.0,30000.0,,200000.0,1,1
83,23.0,12.0,220000.0,,480000.0,1,2
84,23.0,14.0,30000.0,0.0,140000.0,1,2
85,27.0,36.0,150000.0,,600000.0,1,4
86,29.0,,50000.0,,,1,1
87,23.0,48.0,60000.0,0.0,600000.0,1,2
88,,48.0,120000.0,,500000.0,1,2
89,28.0,,40000.0,3.0,400000.0,1,2
90,,12.0,80000.0,0.0,,1,2
91,39.0,,120000.0,0.0,1300000.0,1,2
92,27.0,36.0,200000.0,,1100000.0,1,2
93,25.0,6.0,60000.0,0.0,480000.0,1,3
94,,33.0,160000.0,1.0,600000.0,1,2
95,23.0,12.0,150000.0,0.0,420000.0,1,3
96,27.0,21.0,50000.0,3.0,550000.0,1,2
97,25.0,3.0,80000.0,0.0,50000.0,1,2
98,24.0,24.0,100000.0,0.0,600000.0,1,3
99,27.0,36.0,200000.0,1.0,800000.0,1,2
100,,48.0,200000.0,,1200000.0,1,2
101,40.0,45.0,150000.0,0.0,,1,2
102,40.0,,150000.0,0.0,1300000.0,1,2
103,32.0,7.0,200000.0,2.0,950000.0,1,2
104,,6.0,100000.0,0.0,800000.0,1,2
105,,,200000.0,3.0,,1,2
106,23.0,2.0,50000.0,0.0,400000.0,1,3
107,,7.0,80000.0,1.0,500000.0,1,2
108,25.0,3.0,60000.0,0.0,400000.0,1,3
109,41.0,144.0,250000.0,2.0,1500000.0,1,2
110,23.0,12.0,150000.0,0.0,420000.0,1,3
111,26.0,0.0,150000.0,0.0,900000.0,1,2
112,22.0,12.0,30000.0,1.0,350000.0,1,2
113,27.0,,165000.0,0.0,600000.0,1,3
114,,,140000.0,1.0,,1,3
115,21.0,,50000.0,0.0,,1,2
116,26.0,60.0,50000.0,0.0,300000.0,1,2
117,26.0,12.0,215000.0,0.0,800000.0,1,2
118,21.0,,20000.0,0.0,270000.0,1,1
119,,4.0,80000.0,0.0,,1,2
120,26.0,12.0,30000.0,0.0,600000.0,1,2
121,,2.0,100000.0,0.0,700000.0,1,2
122,,6.0,150000.0,0.0,1000000.0,1,2
123,29.0,2.0,100000.0,0.0,500000.0,1,2
124,,1.0,20000.0,0.0,,1,2
125,28.0,18.0,200000.0,0.0,950000.0,1,2
126,28.0,18.0,200000.0,0.0,950000.0,1,2
127,36.0,84.0,800000.0,0.0,,1,2
128,30.0,24.0,230000.0,0.0,600000.0,1,2
129,30.0,24.0,230000.0,0.0,600000.0,1,2
130,,64.0,125000.0,0.0,,1,2
131,,64.0,125000.0,0.0,,1,2
132,,38.0,50000.0,0.0,500000.0,1,3
133,,36.0,170000.0,0.0,500000.0,1,2
134,,144.0,120000.0,2.0,,1,3
135,29.0,30.0,800000.0,2.0,500000.0,1,2
136,32.0,0.0,330000.0,0.0,720000.0,1,2
137,30.0,18.0,120000.0,0.0,500000.0,1,2
138,,2.0,150000.0,,500000.0,1,1
139,26.0,12.0,80000.0,0.0,450000.0,1,2
140,27.0,5.0,300000.0,0.0,1000000.0,1,2
141,37.0,,1500000.0,2.0,,1,2
142,25.0,12.0,120000.0,0.0,500000.0,1,2
143,31.0,56.0,120000.0,3.0,1200000.0,1,4
144,23.0,2.0,120000.0,0.0,400000.0,1,2
145,29.0,24.0,450000.0,0.0,2000000.0,1,2
146,29.0,36.0,120000.0,3.0,770000.0,1,2
147,27.0,18.0,325000.0,0.0,1500000.0,1,2
148,28.0,36.0,360000.0,0.0,1000000.0,1,2
149,27.0,48.0,440000.0,3.0,5000000.0,1,2
150,25.0,25.0,20000.0,0.0,150000.0,1,2
151,24.0,6.0,200000.0,0.0,1000000.0,1,2
152,32.0,42.0,300000.0,3.0,1000000.0,1,2
153,,30.0,185000.0,0.0,,1,2
154,25.0,7.0,60000.0,1.0,360000.0,1,2
155,32.0,114.0,60000.0,0.0,700000.0,1,2
156,,,210000.0,0.0,400000.0,1,2
157,20.0,16.0,20000.0,0.0,200000.0,1,1
158,,72.0,310000.0,0.0,,1,3
159,32.0,11.0,25000.0,0.0,360000.0,1,2
160,23.0,13.0,80000.0,0.0,3100000.0,1,2
161,22.0,9.0,125000.0,0.0,500000.0,1,2
162,26.0,42.0,45000.0,0.0,230000.0,1,2
163,,6.0,20000.0,0.0,,1,2
164,24.0,6.0,205000.0,1.0,500000.0,1,2
165,26.0,15.0,160000.0,0.0,500000.0,1,2
